timestamp, name, bus_id, ecc.errors.uncorrected.aggregate.total, ecc.errors.uncorrected.volatile.total, ecc.errors.corrected.aggregate.total, ecc.errors.corrected.volatile.total, ecc.errors.dram.aggregate.total, ecc.errors.dram-corrected.aggregate.total, ecc.errors.dram.volatile.total, ecc.errors.dram-corrected.volatile.total, ecc.mode.current, ecc.mode.pending
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:4c:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:bb:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:5d:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:19:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:db:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:3b:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:29 UTC 2024, HL-325L, 0000:9b:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:cb:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:bb:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:19:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:3b:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:9b:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:db:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
Wed Oct 23 14:16:32 UTC 2024, HL-325L, 0000:5d:00.0, 0, 0, 0, 0, 0, 0, 0, 0, Enabled, Enabled
